vino,bodega,precio,fecha
Mariflor Camille,Rolland Wine Collection,2683,2017-11-01
Mariflor Arthur & Theo,Rolland Wine Collection,2683,2017-11-01
Mariflor Raphael,Rolland Wine Collection,2683,2017-11-01
Mosquita Muerta Blend de Tintas,Mosquita Muerta Wines,450,2017-11-01
Mosquita Muerta Blend de Blancas,Mosquita Muerta Wines,217,2017-11-01
Sapo de Otro Pozo Blend,Mosquita Muerta Wines,397,2017-11-01
Pispi Blend,Mosquita Muerta Wines,292,2017-11-01
Tikal Jubilo,Ernesto Catena,441,2017-11-01
Tikal Amorio,Ernesto Catena,399,2017-11-01
Tikal Patriota,Ernesto Catena,372,2017-11-01
Tikal Natural Bio,Ernesto Catena,298,2017-11-01
Gran Callejón del Crimen,Finca La Luz,378,2017-11-01
Zuccardi Finca Canal Uco Malbec,Familia Zuccardi,1756,2017-11-01
Zuccardi Piedra Infinita Malbec,Familia Zuccardi,1756,2017-11-01
Zuccardi Zeta,Familia Zuccardi,616,2017-11-01
Las Perdices Reserva Malbec x 375 ml.,Viña Las Perdices,156,2017-11-01
Las Perdices Malbec x 375 ml.,Viña Las Perdices,94,2017-11-01
Catena Zapata Malbec Argentino 2013,Catena Zapata,1650,2017-11-01
D.V. Catena Adrianna Malbec Gualtallary,Catena Zapata,810,2017-11-01
D.V. Catena Nicasia Malbec Altamira,Catena Zapata,746,2017-11-01
D.V. Catena La Piramide Cabernet Sauvignon Agrelo,Catena Zapata,746,2017-11-01
D.V. Catena Espumante Nature,Catena Zapata,707,2017-11-01
Nicola Catena Bonarda,Catena Zapata,862,2017-11-01
Angelica Zapata Malbec,Catena Zapata,648,2017-11-01
Angelica Zapata Cabernet Franc,Catena Zapata,495,2017-11-01
Angelica Zapata Cabernet Sauvignon,Catena Zapata,438,2017-11-01
Angelica Zapata Merlot,Catena Zapata,438,2017-11-01
Angelica Zapata Chardonnay,Catena Zapata,423,2017-11-01
D.V. Catena Cabernet - Cabernet,Catena Zapata,572,2017-11-01
D.V. Catena Malbec - Malbec,Catena Zapata,413,2017-11-01
D.V. Catena Pinot Noir - Pinot Noir,Catena Zapata,401,2017-11-01
D.V. Catena Clarete de Malbec,Catena Zapata,401,2017-11-01
D.V. Catena Malbec - Grenache,Catena Zapata,326,2017-11-01
D.V. Catena Cabernet - Malbec,Catena Zapata,326,2017-11-01
D.V. Catena Cabernet - Syrah,Catena Zapata,326,2017-11-01
D.V. Catena Chardonnay - Chardonnay,Catena Zapata,309,2017-11-01
Saint Felicien Bonarda,Catena Zapata,266,2017-11-01
Catena Zapata Estiba Reservada 2009,Catena Zapata (Ediciones limitadas),6930,2017-11-01
Catena Zapata Estiba Reservada 2010,Catena Zapata (Ediciones limitadas),6030,2017-11-01
Adrianna Vineyard - White Bones - Chardonnay 2012,Catena Zapata (Ediciones limitadas),2682,2017-11-01
Adrianna Vineyard - White Bones - Chardonnay 2014,Catena Zapata (Ediciones limitadas),2070,2017-11-01
Adrianna Vineyard - Fortuma Terrae Malbec 2013,Catena Zapata (Ediciones limitadas),2295,2017-11-01
Adrianna Vineyard - River Stones - Malbec 2012,Catena Zapata (Ediciones limitadas),2160,2017-11-01
Adrianna Vineyard - River Stones - Malbec 2013,Catena Zapata (Ediciones limitadas),1890,2017-11-01
Adrianna Vineyard - White Stones - Chardonnay 2012,Catena Zapata (Ediciones limitadas),1890,2017-11-01
Adrianna Vineyard - White Stones - Chardonnay 2014,Catena Zapata (Ediciones limitadas),1467,2017-11-01
Don Malbec,Escorihuela Gascón,1260,2017-11-01
Miguel Escorihuela Gascon Malbec,Escorihuela Gascón,735,2017-11-01
Pequeñas Producciones Malbec,Escorihuela Gascón,441,2017-11-01
Pequeñas Producciones Cabernet Sauvignon,Escorihuela Gascón,416,2017-11-01
Pequeñas Producciones Syrah,Escorihuela Gascón,416,2017-11-01
Pequeñas Producciones Chardonnay,Escorihuela Gascón,416,2017-11-01
Colección Rutini Cabernet - Malbec x 375 ml.,La Rural,191,2017-11-01
Trumpeter Malbec x 375 ml.,La Rural,109,2017-11-01
Luigi Bosca Icono,Luigi Bosca,2850,2017-11-01
Alta Vista Premium Malbec x 375 ml.,Alta Vista,124,2017-11-01
RJ Distinto,Bodega Joffre e Hijas,714,2017-11-01
RJ Malbec,Bodega Joffre e Hijas,693,2017-11-01
Sophenia Roberto L,Finca Sophenia,686,2017-11-01
Doña Paula Estate Malbec x 375 ml.,Doña Paula,112,2017-11-01
Los Cardos Cabernet Sauvignon x 375 ml.,Doña Paula,88,2017-11-01
Amalaya Malbec x 375 ml.,Colomé,80,2017-11-01
Altimus,El Esteco,789,2017-11-01
Chañar Punco,El Esteco,751,2017-11-01
Las Moras Sauvignon Blanc x 375 ml.,Finca las Moras,52,2017-11-01
Yacuil Malbec 2013,Tacuil – Familia Dávalos,1470,2017-11-01
Noemía 2014,Noemía,2800,2017-11-01
Noemía 2015,Noemía,2720,2017-11-01
